onbook_date,price,cont_vol_ask,cont_vol_bid,close_vol_ask,close_vol_bid,cum_ask,cum_bid,total,,difference,
03/01/2019,17.5,,22275,,24902,4570468, 917'248.00 , 5'487'716.00 , -1'283'849.00 , 3'653'220.00 , 3'644'206.00 
03/01/2019,17.51,,1500,,1550,4570468, 918'798.00 , 5'489'266.00 , -1'282'299.00 , 3'651'670.00 , 3'642'656.00 
03/01/2019,17.54,,1500,,1500,4570468, 920'298.00 , 5'490'766.00 , -1'280'799.00 , 3'650'170.00 , 3'641'156.00 
03/01/2019,17.55,,3700,,3700,4570468, 923'998.00 , 5'494'466.00 , -1'277'099.00 , 3'646'470.00 , 3'637'456.00 
03/01/2019,17.56,,450,,450,4570468, 924'448.00 , 5'494'916.00 , -1'276'649.00 , 3'646'020.00 , 3'637'006.00 
03/01/2019,17.57,,1500,,1500,4570468, 925'948.00 , 5'496'416.00 , -1'275'149.00 , 3'644'520.00 , 3'635'506.00 
03/01/2019,17.58,,1700,,1700,4570468, 927'648.00 , 5'498'116.00 , -1'273'449.00 , 3'642'820.00 , 3'633'806.00 
03/01/2019,17.585,,,24644,,4570468, 927'648.00 , 5'498'116.00 , -1'273'449.00 , 3'642'820.00 , 3'633'806.00 
03/01/2019,17.595,,,37208,,4545824, 927'648.00 , 5'473'472.00 , -1'298'093.00 , 3'618'176.00 , 3'609'162.00 
03/01/2019,17.6,,12800,,12800,4508616, 940'448.00 , 5'449'064.00 , -1'322'501.00 , 3'568'168.00 , 3'559'154.00 
03/01/2019,17.63,,1500,,1500,4508616, 941'948.00 , 5'450'564.00 , -1'321'001.00 , 3'566'668.00 , 3'557'654.00 
03/01/2019,17.65,,800,,800,4508616, 942'748.00 , 5'451'364.00 , -1'320'201.00 , 3'565'868.00 , 3'556'854.00 
03/01/2019,17.66,,1500,,1500,4508616, 944'248.00 , 5'452'864.00 , -1'318'701.00 , 3'564'368.00 , 3'555'354.00 
03/01/2019,17.665,,,569,,4508616, 944'248.00 , 5'452'864.00 , -1'318'701.00 , 3'564'368.00 , 3'555'354.00 
